Model,DPO4034
Firmware Version,2.1

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,4e-06
Record Length,100000
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-1.99056e-01,0.03
-1.99052e-01,0.09
-1.99048e-01,0.05
-1.99044e-01,0.03
-1.99040e-01,0.07
-1.99036e-01,0.07
-1.99032e-01,0.11
-1.99028e-01,0.07
-1.99024e-01,0.09
-1.99020e-01,0.09
-1.99016e-01,0.05
-1.99012e-01,0.01
-1.99008e-01,0.05
-1.99004e-01,0.05
-1.99000e-01,0.05
-1.98996e-01,0.07
-1.98992e-01,0.07
-1.98988e-01,0.05
-1.98984e-01,0.07
-1.98980e-01,0.03
-1.98976e-01,0.07
-1.98972e-01,0.09
-1.98968e-01,0.01
-1.98964e-01,0.05
-1.98960e-01,0.05
-1.98956e-01,0.07
-1.98952e-01,0.07
-1.98948e-01,0.09
-1.98944e-01,0.07
-1.98940e-01,0.03
-1.98936e-01,0.05
-1.98932e-01,0.03
-1.98928e-01,0.05
-1.98924e-01,0.05
-1.98920e-01,0.05
-1.98916e-01,0.07
-1.98912e-01,0.05
-1.98908e-01,0.07
-1.98904e-01,0.05
-1.98900e-01,0.07
-1.98896e-01,0.07
-1.98892e-01,0.09
-1.98888e-01,0.03
-1.98884e-01,0.05
-1.98880e-01,0.03
-1.98876e-01,0.05
-1.98872e-01,0.07
-1.98868e-01,0.01
-1.98864e-01,0.05
-1.98860e-01,0.05
-1.98856e-01,0.03
-1.98852e-01,0.07
-1.98848e-01,0.05
-1.98844e-01,0.03
-1.98840e-01,0.11
-1.98836e-01,0.03
-1.98832e-01,0.07
-1.98828e-01,0.03
-1.98824e-01,0.09
-1.98820e-01,0.01
-1.98816e-01,0.07
-1.98812e-01,0.07
-1.98808e-01,0.05
-1.98804e-01,0.07
-1.98800e-01,0.03
-1.98796e-01,0.03
-1.98792e-01,0.09
-1.98788e-01,0.03
-1.98784e-01,0.03
-1.98780e-01,0.03
-1.98776e-01,0.05
-1.98772e-01,0.05
-1.98768e-01,0.05
-1.98764e-01,0.07
-1.98760e-01,0.09
-1.98756e-01,0.03
-1.98752e-01,0.03
-1.98748e-01,0.05
-1.98744e-01,0.03
-1.98740e-01,0.03
-1.98736e-01,0.05
-1.98732e-01,0.03
-1.98728e-01,0.05
-1.98724e-01,0.05
-1.98720e-01,0.07
-1.98716e-01,0.07
-1.98712e-01,0.05
-1.98708e-01,0.03
-1.98704e-01,0.05
-1.98700e-01,0.07
-1.98696e-01,0.05
-1.98692e-01,0.07
-1.98688e-01,0.05
-1.98684e-01,0.09
-1.98680e-01,0.07
-1.98676e-01,0.03
-1.98672e-01,0.01
-1.98668e-01,0.07
-1.98664e-01,0.09
-1.98660e-01,0.07
-1.98656e-01,0.07
-1.98652e-01,0.03
-1.98648e-01,0.05
-1.98644e-01,0.05
-1.98640e-01,0.03
-1.98636e-01,0.03
-1.98632e-01,0.05
-1.98628e-01,0.03
-1.98624e-01,0.07
-1.98620e-01,0.05
-1.98616e-01,0.03
-1.98612e-01,0.03
-1.98608e-01,0.11
-1.98604e-01,0.07
-1.98600e-01,0.05
-1.98596e-01,0.07
-1.98592e-01,0.01
-1.98588e-01,0.07
-1.98584e-01,0.09
-1.98580e-01,0.05
-1.98576e-01,0.07
-1.98572e-01,0.07
-1.98568e-01,0.09
-1.98564e-01,0.05
-1.98560e-01,0.07
-1.98556e-01,0.05
-1.98552e-01,0.09
-1.98548e-01,0.09
-1.98544e-01,0.07
-1.98540e-01,0.07
-1.98536e-01,0.01
-1.98532e-01,0.03
-1.98528e-01,0.03
-1.98524e-01,0.05
-1.98520e-01,0.09
-1.98516e-01,0.07
-1.98512e-01,0.05
-1.98508e-01,0.05
-1.98504e-01,0.05
-1.98500e-01,0.05
-1.98496e-01,0.07
-1.98492e-01,0.05
-1.98488e-01,0.01
-1.98484e-01,0.11
-1.98480e-01,0.07
-1.98476e-01,0.05
-1.98472e-01,0.07
-1.98468e-01,0.03
-1.98464e-01,0.09
-1.98460e-01,0.07
-1.98456e-01,0.05
-1.98452e-01,0.07
-1.98448e-01,0.09
-1.98444e-01,0.11
-1.98440e-01,0.07
-1.98436e-01,0.05
-1.98432e-01,0.03
-1.98428e-01,0.05
-1.98424e-01,0.03
-1.98420e-01,0.07
-1.98416e-01,0.05
-1.98412e-01,0.07
-1.98408e-01,0.07
-1.98404e-01,0.01
-1.98400e-01,0.03
-1.98396e-01,0.07
-1.98392e-01,0.07
-1.98388e-01,0.09
-1.98384e-01,0.07
-1.98380e-01,0.05
-1.98376e-01,0.03
-1.98372e-01,0.07
-1.98368e-01,0.07
-1.98364e-01,0.03
-1.98360e-01,0.07
-1.98356e-01,0.05
-1.98352e-01,0.07
-1.98348e-01,0.09
-1.98344e-01,0.09
-1.98340e-01,0.09
-1.98336e-01,0.09
-1.98332e-01,0.03
-1.98328e-01,0.07
-1.98324e-01,0.03
-1.98320e-01,0.03
-1.98316e-01,0.03
-1.98312e-01,0.09
-1.98308e-01,0.09
-1.98304e-01,0.07
-1.98300e-01,0.07
-1.98296e-01,0.05
-1.98292e-01,0.07
-1.98288e-01,0.05
-1.98284e-01,0.07
-1.98280e-01,0.03
-1.98276e-01,0.03
-1.98272e-01,0.05
-1.98268e-01,0.05
-1.98264e-01,0.07
-1.98260e-01,0.09
-1.98256e-01,0.05
-1.98252e-01,0.03
-1.98248e-01,0.09
-1.98244e-01,0.07
-1.98240e-01,0.07
-1.98236e-01,0.07
-1.98232e-01,0.05
-1.98228e-01,0.05
-1.98224e-01,0.01
-1.98220e-01,-0.01
-1.98216e-01,0.07
-1.98212e-01,0.07
-1.98208e-01,0.05
-1.98204e-01,0.07
-1.98200e-01,0.03
-1.98196e-01,0.07
-1.98192e-01,0.07
-1.98188e-01,0.01
-1.98184e-01,0.05
-1.98180e-01,0.07
-1.98176e-01,0.05
-1.98172e-01,0.05
-1.98168e-01,0.09
-1.98164e-01,0.07
-1.98160e-01,0.03
-1.98156e-01,0.07
-1.98152e-01,0.05
-1.98148e-01,0.07
-1.98144e-01,0.07
-1.98140e-01,0.05
-1.98136e-01,0.01
-1.98132e-01,0.07
-1.98128e-01,0.03
-1.98124e-01,0.05
-1.98120e-01,0.03
-1.98116e-01,0.05
-1.98112e-01,0.05
-1.98108e-01,0.03
-1.98104e-01,0.03
-1.98100e-01,0.05
-1.98096e-01,0.07
-1.98092e-01,0.07
-1.98088e-01,0.07
-1.98084e-01,0.07
-1.98080e-01,0.01
-1.98076e-01,0.03
-1.98072e-01,0.03
-1.98068e-01,0.03
-1.98064e-01,0.03
-1.98060e-01,0.07
-1.98056e-01,0.05
-1.98052e-01,0.03
-1.98048e-01,0.09
-1.98044e-01,0.03
-1.98040e-01,0.07
-1.98036e-01,0.07
-1.98032e-01,0.05
-1.98028e-01,0.09
-1.98024e-01,0.07
-1.98020e-01,0.07
-1.98016e-01,0.03
-1.98012e-01,0.01
-1.98008e-01,0.03
-1.98004e-01,0.07
-1.98000e-01,0.03
-1.97996e-01,0.03
-1.97992e-01,0.05
-1.97988e-01,0.07
-1.97984e-01,0.07
-1.97980e-01,0.09
-1.97976e-01,0.09
-1.97972e-01,0.03
-1.97968e-01,0.05
-1.97964e-01,0.05
-1.97960e-01,0.05
-1.97956e-01,0.05
-1.97952e-01,0.11
-1.97948e-01,0.09
-1.97944e-01,0.07
-1.97940e-01,0.05
-1.97936e-01,0.03
-1.97932e-01,0.05
-1.97928e-01,0.05
-1.97924e-01,0.05
-1.97920e-01,0.05
-1.97916e-01,0.07
-1.97912e-01,0.05
-1.97908e-01,0.07
-1.97904e-01,0.03
-1.97900e-01,0.07
-1.97896e-01,0.05
-1.97892e-01,0.03
-1.97888e-01,0.05
-1.97884e-01,0.03
-1.97880e-01,0.07
-1.97876e-01,0.03
-1.97872e-01,0.03
-1.97868e-01,0.05
-1.97864e-01,0.07
-1.97860e-01,0.07
-1.97856e-01,0.09
-1.97852e-01,0.07
-1.97848e-01,0.07
-1.97844e-01,0.05
-1.97840e-01,0.05
-1.97836e-01,0.09
-1.97832e-01,0.05
-1.97828e-01,0.05
-1.97824e-01,0.07
-1.97820e-01,0.05
-1.97816e-01,0.05
-1.97812e-01,0.01
-1.97808e-01,0.07
-1.97804e-01,0.07
-1.97800e-01,0.11
-1.97796e-01,0.05
-1.97792e-01,0.07
-1.97788e-01,0.05
-1.97784e-01,0.09
-1.97780e-01,0.05
-1.97776e-01,0.05
-1.97772e-01,0.09
-1.97768e-01,0.07
-1.97764e-01,0.07
-1.97760e-01,0.01
-1.97756e-01,0.01
-1.97752e-01,0.05
-1.97748e-01,0.03
-1.97744e-01,0.03
