Model,DPO4034
Firmware Version,2.1

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,4e-06
Record Length,100000
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-1.29504e-01,3.27
-1.29500e-01,3.25
-1.29496e-01,3.25
-1.29492e-01,3.27
-1.29488e-01,3.25
-1.29484e-01,3.31
-1.29480e-01,3.29
-1.29476e-01,3.29
-1.29472e-01,3.27
-1.29468e-01,3.27
-1.29464e-01,3.27
-1.29460e-01,3.29
-1.29456e-01,3.29
-1.29452e-01,3.27
-1.29448e-01,3.27
-1.29444e-01,3.29
-1.29440e-01,3.23
-1.29436e-01,3.29
-1.29432e-01,3.25
-1.29428e-01,3.25
-1.29424e-01,3.31
-1.29420e-01,3.29
-1.29416e-01,3.27
-1.29412e-01,3.27
-1.29408e-01,3.29
-1.29404e-01,3.25
-1.29400e-01,3.29
-1.29396e-01,3.29
-1.29392e-01,3.29
-1.29388e-01,3.25
-1.29384e-01,3.25
-1.29380e-01,3.29
-1.29376e-01,3.29
-1.29372e-01,3.31
-1.29368e-01,3.21
-1.29364e-01,3.27
-1.29360e-01,3.29
-1.29356e-01,3.21
-1.29352e-01,3.23
-1.29348e-01,3.25
-1.29344e-01,3.29
-1.29340e-01,3.27
-1.29336e-01,3.27
-1.29332e-01,3.29
-1.29328e-01,3.29
-1.29324e-01,3.29
-1.29320e-01,3.29
-1.29316e-01,3.33
-1.29312e-01,3.25
-1.29308e-01,3.25
-1.29304e-01,3.31
-1.29300e-01,3.29
-1.29296e-01,3.29
-1.29292e-01,3.29
-1.29288e-01,3.29
-1.29284e-01,3.31
-1.29280e-01,3.29
-1.29276e-01,3.27
-1.29272e-01,3.29
-1.29268e-01,3.23
-1.29264e-01,3.25
-1.29260e-01,3.29
-1.29256e-01,3.33
-1.29252e-01,3.27
-1.29248e-01,3.27
-1.29244e-01,3.29
-1.29240e-01,3.25
-1.29236e-01,3.33
-1.29232e-01,3.31
-1.29228e-01,3.29
-1.29224e-01,3.27
-1.29220e-01,3.29
-1.29216e-01,3.31
-1.29212e-01,3.23
-1.29208e-01,3.33
-1.29204e-01,3.25
-1.29200e-01,3.27
-1.29196e-01,3.25
-1.29192e-01,3.31
-1.29188e-01,3.29
-1.29184e-01,3.29
-1.29180e-01,3.27
-1.29176e-01,3.25
-1.29172e-01,3.25
-1.29168e-01,3.27
-1.29164e-01,3.29
-1.29160e-01,3.27
-1.29156e-01,3.21
-1.29152e-01,3.25
-1.29148e-01,3.29
-1.29144e-01,3.27
-1.29140e-01,3.27
-1.29136e-01,3.25
-1.29132e-01,3.29
-1.29128e-01,3.29
-1.29124e-01,3.27
-1.29120e-01,3.29
-1.29116e-01,3.27
-1.29112e-01,3.27
-1.29108e-01,3.27
-1.29104e-01,3.29
-1.29100e-01,3.29
-1.29096e-01,3.29
-1.29092e-01,3.27
-1.29088e-01,3.25
-1.29084e-01,3.29
-1.29080e-01,3.27
-1.29076e-01,3.29
-1.29072e-01,3.29
-1.29068e-01,3.27
-1.29064e-01,3.29
-1.29060e-01,3.29
-1.29056e-01,3.27
-1.29052e-01,3.29
-1.29048e-01,3.27
-1.29044e-01,3.29
-1.29040e-01,3.27
-1.29036e-01,3.29
-1.29032e-01,3.27
-1.29028e-01,3.29
-1.29024e-01,3.29
-1.29020e-01,3.25
-1.29016e-01,3.27
-1.29012e-01,3.29
-1.29008e-01,3.27
-1.29004e-01,3.27
-1.29000e-01,3.27
-1.28996e-01,3.27
-1.28992e-01,3.27
-1.28988e-01,3.27
-1.28984e-01,3.29
-1.28980e-01,3.23
-1.28976e-01,3.25
-1.28972e-01,3.27
-1.28968e-01,3.29
-1.28964e-01,3.27
-1.28960e-01,3.29
-1.28956e-01,3.27
-1.28952e-01,3.27
-1.28948e-01,3.29
-1.28944e-01,3.27
-1.28940e-01,3.27
-1.28936e-01,3.27
-1.28932e-01,3.29
-1.28928e-01,3.25
-1.28924e-01,3.25
-1.28920e-01,3.25
-1.28916e-01,3.27
-1.28912e-01,3.27
-1.28908e-01,3.29
-1.28904e-01,3.31
-1.28900e-01,3.25
-1.28896e-01,3.29
-1.28892e-01,3.29
-1.28888e-01,3.25
-1.28884e-01,3.29
-1.28880e-01,3.31
-1.28876e-01,3.29
-1.28872e-01,3.27
-1.28868e-01,3.25
-1.28864e-01,3.25
-1.28860e-01,3.25
-1.28856e-01,3.27
-1.28852e-01,3.25
-1.28848e-01,3.27
-1.28844e-01,3.25
-1.28840e-01,3.29
-1.28836e-01,3.29
-1.28832e-01,3.29
-1.28828e-01,3.29
-1.28824e-01,3.29
-1.28820e-01,3.29
-1.28816e-01,3.27
-1.28812e-01,3.29
-1.28808e-01,3.29
-1.28804e-01,3.25
-1.28800e-01,3.27
-1.28796e-01,3.29
-1.28792e-01,3.25
-1.28788e-01,3.25
-1.28784e-01,3.29
-1.28780e-01,3.29
-1.28776e-01,3.27
-1.28772e-01,3.29
-1.28768e-01,0.09
-1.28764e-01,0.09
-1.28760e-01,0.07
-1.28756e-01,0.07
-1.28752e-01,0.01
-1.28748e-01,0.11
-1.28744e-01,0.11
-1.28740e-01,0.05
-1.28736e-01,0.05
-1.28732e-01,0.07
-1.28728e-01,0.09
-1.28724e-01,0.05
-1.28720e-01,0.09
-1.28716e-01,0.07
-1.28712e-01,0.07
-1.28708e-01,0.11
-1.28704e-01,0.09
-1.28700e-01,0.07
-1.28696e-01,0.09
-1.28692e-01,0.11
-1.28688e-01,0.07
-1.28684e-01,0.09
-1.28680e-01,0.03
-1.28676e-01,0.07
-1.28672e-01,0.09
-1.28668e-01,0.09
-1.28664e-01,0.05
-1.28660e-01,0.07
-1.28656e-01,0.13
-1.28652e-01,0.07
-1.28648e-01,0.09
-1.28644e-01,0.07
-1.28640e-01,0.07
-1.28636e-01,0.13
-1.28632e-01,0.07
-1.28628e-01,0.09
-1.28624e-01,0.07
-1.28620e-01,0.05
-1.28616e-01,0.07
-1.28612e-01,0.07
-1.28608e-01,0.07
-1.28604e-01,0.05
-1.28600e-01,0.09
-1.28596e-01,0.07
-1.28592e-01,0.05
-1.28588e-01,0.07
-1.28584e-01,-0.01
-1.28580e-01,0.07
-1.28576e-01,0.07
-1.28572e-01,0.07
-1.28568e-01,0.09
-1.28564e-01,0.03
-1.28560e-01,0.07
-1.28556e-01,0.03
-1.28552e-01,0.05
-1.28548e-01,0.07
-1.28544e-01,0.07
-1.28540e-01,0.11
-1.28536e-01,0.07
-1.28532e-01,0.07
-1.28528e-01,0.09
-1.28524e-01,0.03
-1.28520e-01,0.05
-1.28516e-01,0.07
-1.28512e-01,0.07
-1.28508e-01,0.05
-1.28504e-01,0.09
-1.28500e-01,0.11
-1.28496e-01,0.07
-1.28492e-01,0.05
-1.28488e-01,0.05
-1.28484e-01,0.05
-1.28480e-01,0.09
-1.28476e-01,0.09
-1.28472e-01,0.11
-1.28468e-01,0.07
-1.28464e-01,0.05
-1.28460e-01,0.09
-1.28456e-01,0.05
-1.28452e-01,0.03
-1.28448e-01,0.05
-1.28444e-01,0.05
-1.28440e-01,0.09
-1.28436e-01,0.03
-1.28432e-01,0.05
-1.28428e-01,0.03
-1.28424e-01,0.05
-1.28420e-01,0.01
-1.28416e-01,0.03
-1.28412e-01,0.05
-1.28408e-01,0.07
-1.28404e-01,0.05
-1.28400e-01,0.07
-1.28396e-01,0.01
-1.28392e-01,0.07
-1.28388e-01,0.07
-1.28384e-01,0.07
-1.28380e-01,0.09
-1.28376e-01,0.05
-1.28372e-01,0.05
-1.28368e-01,0.09
-1.28364e-01,0.05
-1.28360e-01,0.07
-1.28356e-01,0.05
-1.28352e-01,0.03
-1.28348e-01,0.07
-1.28344e-01,0.05
-1.28340e-01,0.07
-1.28336e-01,0.01
-1.28332e-01,0.07
-1.28328e-01,0.09
-1.28324e-01,0.05
-1.28320e-01,0.03
-1.28316e-01,0.07
-1.28312e-01,0.03
-1.28308e-01,0.05
-1.28304e-01,0.09
-1.28300e-01,0.07
-1.28296e-01,-0.01
-1.28292e-01,0.09
-1.28288e-01,0.09
-1.28284e-01,0.05
-1.28280e-01,0.07
-1.28276e-01,0.05
-1.28272e-01,0.09
-1.28268e-01,0.03
-1.28264e-01,0.05
-1.28260e-01,0.09
-1.28256e-01,0.07
-1.28252e-01,0.03
-1.28248e-01,0.05
-1.28244e-01,0.05
-1.28240e-01,0.03
-1.28236e-01,0.07
-1.28232e-01,0.09
-1.28228e-01,0.05
-1.28224e-01,0.09
-1.28220e-01,0.07
-1.28216e-01,0.05
-1.28212e-01,0.03
-1.28208e-01,0.03
-1.28204e-01,0.09
-1.28200e-01,0.05
-1.28196e-01,0.09
-1.28192e-01,0.05
-1.28188e-01,0.07
-1.28184e-01,0.07
-1.28180e-01,0.07
-1.28176e-01,0.11
-1.28172e-01,0.07
-1.28168e-01,0.07
-1.28164e-01,0.01
-1.28160e-01,0.07
-1.28156e-01,0.05
-1.28152e-01,0.03
-1.28148e-01,0.05
-1.28144e-01,0.03
-1.28140e-01,0.03
-1.28136e-01,0.07
-1.28132e-01,0.07
-1.28128e-01,0.05
-1.28124e-01,0.07
-1.28120e-01,0.07
-1.28116e-01,0.05
-1.28112e-01,0.09
-1.28108e-01,0.07
-1.28104e-01,0.05
-1.28100e-01,0.07
-1.28096e-01,0.09
-1.28092e-01,0.01
-1.28088e-01,0.03
-1.28084e-01,0.07
-1.28080e-01,0.05
-1.28076e-01,0.07
-1.28072e-01,0.09
-1.28068e-01,0.09
-1.28064e-01,0.03
-1.28060e-01,0.05
-1.28056e-01,0.03
-1.28052e-01,0.05
-1.28048e-01,0.03
-1.28044e-01,0.07
-1.28040e-01,0.03
-1.28036e-01,0.07
-1.28032e-01,0.05
-1.28028e-01,0.05
-1.28024e-01,0.03
-1.28020e-01,0.03
-1.28016e-01,0.05
-1.28012e-01,0.05
-1.28008e-01,0.05
-1.28004e-01,0.03
-1.28000e-01,0.05
-1.27996e-01,0.03
-1.27992e-01,0.05
-1.27988e-01,0.03
-1.27984e-01,0.09
-1.27980e-01,0.07
-1.27976e-01,0.03
-1.27972e-01,0.05
-1.27968e-01,0.05
-1.27964e-01,0.05
-1.27960e-01,0.03
-1.27956e-01,0.03
-1.27952e-01,0.05
-1.27948e-01,0.07
-1.27944e-01,0.03
-1.27940e-01,0.07
-1.27936e-01,0.09
-1.27932e-01,0.07
-1.27928e-01,0.07
-1.27924e-01,0.01
-1.27920e-01,0.05
-1.27916e-01,0.07
-1.27912e-01,0.03
-1.27908e-01,0.03
-1.27904e-01,0.05
-1.27900e-01,0.05
-1.27896e-01,0.01
-1.27892e-01,0.01
-1.27888e-01,0.09
-1.27884e-01,0.11
-1.27880e-01,0.05
-1.27876e-01,0.05
-1.27872e-01,0.09
-1.27868e-01,0.01
-1.27864e-01,0.05
-1.27860e-01,0.05
-1.27856e-01,0.07
-1.27852e-01,0.05
-1.27848e-01,0.03
-1.27844e-01,0.05
-1.27840e-01,0.03
-1.27836e-01,0.07
-1.27832e-01,0.09
-1.27828e-01,0.07
-1.27824e-01,0.09
-1.27820e-01,0.03
-1.27816e-01,0.09
-1.27812e-01,0.09
-1.27808e-01,0.07
-1.27804e-01,0.05
-1.27800e-01,0.05
-1.27796e-01,3.05
-1.27792e-01,3.23
-1.27788e-01,3.23
-1.27784e-01,3.29
-1.27780e-01,3.25
-1.27776e-01,3.21
-1.27772e-01,3.23
-1.27768e-01,3.27
-1.27764e-01,3.23
-1.27760e-01,3.23
-1.27756e-01,3.23
-1.27752e-01,3.25
-1.27748e-01,3.27
-1.27744e-01,3.25
-1.27740e-01,3.27
-1.27736e-01,3.25
-1.27732e-01,3.29
-1.27728e-01,3.25
-1.27724e-01,3.25
-1.27720e-01,3.21
-1.27716e-01,3.23
-1.27712e-01,3.27
-1.27708e-01,3.23
-1.27704e-01,3.21
-1.27700e-01,3.27
-1.27696e-01,3.25
-1.27692e-01,3.25
-1.27688e-01,3.29
-1.27684e-01,3.25
-1.27680e-01,3.25
-1.27676e-01,3.27
-1.27672e-01,3.23
-1.27668e-01,3.27
-1.27664e-01,3.27
-1.27660e-01,3.25
-1.27656e-01,3.25
-1.27652e-01,3.29
-1.27648e-01,3.25
-1.27644e-01,3.27
-1.27640e-01,3.25
-1.27636e-01,3.25
-1.27632e-01,3.25
-1.27628e-01,3.25
-1.27624e-01,3.23
-1.27620e-01,3.29
-1.27616e-01,3.29
-1.27612e-01,3.25
-1.27608e-01,3.25
-1.27604e-01,3.27
-1.27600e-01,3.25
-1.27596e-01,3.25
-1.27592e-01,3.21
-1.27588e-01,3.23
-1.27584e-01,3.29
-1.27580e-01,3.27
-1.27576e-01,3.29
-1.27572e-01,3.25
-1.27568e-01,3.25
-1.27564e-01,3.29
-1.27560e-01,3.29
-1.27556e-01,3.27
-1.27552e-01,3.25
-1.27548e-01,3.25
-1.27544e-01,3.25
-1.27540e-01,3.25
-1.27536e-01,3.23
-1.27532e-01,3.27
-1.27528e-01,3.25
-1.27524e-01,3.27
-1.27520e-01,3.25
-1.27516e-01,3.25
-1.27512e-01,3.25
-1.27508e-01,3.27
-1.27504e-01,3.25
-1.27500e-01,3.23
-1.27496e-01,3.27
-1.27492e-01,3.27
-1.27488e-01,3.23
-1.27484e-01,3.29
-1.27480e-01,3.29
-1.27476e-01,3.29
-1.27472e-01,3.29
-1.27468e-01,3.25
-1.27464e-01,3.27
-1.27460e-01,3.31
-1.27456e-01,3.27
-1.27452e-01,3.25
-1.27448e-01,3.27
-1.27444e-01,3.29
-1.27440e-01,3.25
-1.27436e-01,3.25
-1.27432e-01,3.27
-1.27428e-01,3.29
-1.27424e-01,3.29
-1.27420e-01,3.29
-1.27416e-01,3.27
-1.27412e-01,3.25
-1.27408e-01,3.25
-1.27404e-01,3.29
-1.27400e-01,3.25
-1.27396e-01,3.29
-1.27392e-01,3.25
-1.27388e-01,3.29
-1.27384e-01,3.33
-1.27380e-01,3.27
-1.27376e-01,3.27
-1.27372e-01,3.25
-1.27368e-01,3.23
-1.27364e-01,3.29
-1.27360e-01,3.25
-1.27356e-01,3.23
-1.27352e-01,3.27
-1.27348e-01,3.27
-1.27344e-01,3.27
-1.27340e-01,3.27
-1.27336e-01,3.29
-1.27332e-01,3.27
-1.27328e-01,3.29
-1.27324e-01,3.25
-1.27320e-01,3.23
-1.27316e-01,3.27
-1.27312e-01,3.25
-1.27308e-01,3.27
-1.27304e-01,3.25
-1.27300e-01,3.27
-1.27296e-01,3.29
-1.27292e-01,3.27
-1.27288e-01,3.27
-1.27284e-01,3.29
-1.27280e-01,3.27
-1.27276e-01,3.29
-1.27272e-01,3.27
-1.27268e-01,3.27
-1.27264e-01,3.23
-1.27260e-01,3.27
-1.27256e-01,3.25
-1.27252e-01,3.27
-1.27248e-01,3.27
-1.27244e-01,3.25
-1.27240e-01,3.25
-1.27236e-01,3.25
-1.27232e-01,3.29
-1.27228e-01,3.29
-1.27224e-01,3.25
-1.27220e-01,3.29
-1.27216e-01,3.27
-1.27212e-01,3.25
-1.27208e-01,3.23
-1.27204e-01,3.27
-1.27200e-01,3.31
-1.27196e-01,3.27
-1.27192e-01,3.29
-1.27188e-01,3.25
-1.27184e-01,3.33
-1.27180e-01,3.29
-1.27176e-01,3.27
-1.27172e-01,3.29
-1.27168e-01,3.27
-1.27164e-01,3.25
-1.27160e-01,3.33
-1.27156e-01,3.27
-1.27152e-01,3.25
-1.27148e-01,3.31
-1.27144e-01,3.27
-1.27140e-01,3.27
-1.27136e-01,3.25
-1.27132e-01,3.25
-1.27128e-01,3.33
-1.27124e-01,3.27
-1.27120e-01,3.27
-1.27116e-01,3.25
-1.27112e-01,3.25
-1.27108e-01,3.27
-1.27104e-01,3.27
-1.27100e-01,3.25
-1.27096e-01,3.25
-1.27092e-01,3.31
-1.27088e-01,3.29
-1.27084e-01,3.25
-1.27080e-01,3.29
-1.27076e-01,3.29
-1.27072e-01,3.29
-1.27068e-01,3.27
-1.27064e-01,3.29
-1.27060e-01,3.31
-1.27056e-01,3.29
-1.27052e-01,3.29
-1.27048e-01,3.23
-1.27044e-01,3.25
-1.27040e-01,3.27
-1.27036e-01,3.27
-1.27032e-01,3.27
-1.27028e-01,3.29
-1.27024e-01,3.29
-1.27020e-01,3.29
-1.27016e-01,3.27
-1.27012e-01,3.31
-1.27008e-01,3.31
-1.27004e-01,3.25
-1.27000e-01,3.27
-1.26996e-01,3.27
-1.26992e-01,3.25
-1.26988e-01,3.27
-1.26984e-01,3.25
-1.26980e-01,3.27
-1.26976e-01,3.29
-1.26972e-01,3.27
-1.26968e-01,3.25
-1.26964e-01,3.27
-1.26960e-01,3.29
-1.26956e-01,3.29
-1.26952e-01,3.29
-1.26948e-01,3.25
-1.26944e-01,3.31
-1.26940e-01,3.29
-1.26936e-01,3.23
-1.26932e-01,3.23
-1.26928e-01,3.25
-1.26924e-01,3.25
-1.26920e-01,3.29
-1.26916e-01,3.27
-1.26912e-01,3.27
-1.26908e-01,3.27
-1.26904e-01,3.27
-1.26900e-01,3.25
-1.26896e-01,3.29
-1.26892e-01,3.29
-1.26888e-01,3.29
-1.26884e-01,3.23
-1.26880e-01,3.27
-1.26876e-01,3.27
-1.26872e-01,3.25
-1.26868e-01,3.29
-1.26864e-01,3.31
-1.26860e-01,3.29
-1.26856e-01,3.31
-1.26852e-01,3.27
-1.26848e-01,3.27
-1.26844e-01,3.25
-1.26840e-01,3.27
-1.26836e-01,3.29
-1.26832e-01,3.27
-1.26828e-01,3.27
-1.26824e-01,3.27
-1.26820e-01,3.27
-1.26816e-01,3.27
-1.26812e-01,3.25
-1.26808e-01,3.25
-1.26804e-01,3.27
-1.26800e-01,3.29
-1.26796e-01,3.25
-1.26792e-01,3.27
-1.26788e-01,3.25
-1.26784e-01,3.31
-1.26780e-01,3.27
-1.26776e-01,3.29
-1.26772e-01,3.25
-1.26768e-01,3.23
-1.26764e-01,3.31
-1.26760e-01,3.29
-1.26756e-01,3.29
-1.26752e-01,3.29
-1.26748e-01,3.27
-1.26744e-01,3.31
-1.26740e-01,3.25
-1.26736e-01,3.25
-1.26732e-01,3.23
-1.26728e-01,3.33
-1.26724e-01,3.23
-1.26720e-01,3.29
-1.26716e-01,3.31
-1.26712e-01,3.27
-1.26708e-01,3.31
-1.26704e-01,3.29
-1.26700e-01,3.27
-1.26696e-01,3.27
-1.26692e-01,3.27
-1.26688e-01,3.27
-1.26684e-01,3.25
-1.26680e-01,3.23
-1.26676e-01,3.27
-1.26672e-01,3.29
-1.26668e-01,3.25
-1.26664e-01,3.25
-1.26660e-01,3.27
-1.26656e-01,3.27
-1.26652e-01,3.27
-1.26648e-01,3.29
-1.26644e-01,3.27
-1.26640e-01,3.27
-1.26636e-01,3.27
-1.26632e-01,3.29
-1.26628e-01,3.25
-1.26624e-01,3.29
-1.26620e-01,3.31
-1.26616e-01,3.23
-1.26612e-01,3.27
-1.26608e-01,3.31
-1.26604e-01,3.25
-1.26600e-01,3.27
-1.26596e-01,3.29
-1.26592e-01,3.23
-1.26588e-01,3.27
-1.26584e-01,3.27
-1.26580e-01,3.29
-1.26576e-01,3.27
-1.26572e-01,3.27
-1.26568e-01,3.25
-1.26564e-01,3.27
-1.26560e-01,3.27
-1.26556e-01,3.21
-1.26552e-01,3.27
-1.26548e-01,3.25
-1.26544e-01,2.19
-1.26540e-01,0.09
-1.26536e-01,0.07
-1.26532e-01,0.11
-1.26528e-01,0.09
-1.26524e-01,0.11
-1.26520e-01,0.11
-1.26516e-01,0.07
-1.26512e-01,0.11
-1.26508e-01,0.09
-1.26504e-01,0.07
-1.26500e-01,0.09
-1.26496e-01,0.05
-1.26492e-01,0.07
-1.26488e-01,0.07
-1.26484e-01,0.07
-1.26480e-01,0.05
-1.26476e-01,0.05
-1.26472e-01,0.03
-1.26468e-01,0.07
-1.26464e-01,0.07
-1.26460e-01,0.07
-1.26456e-01,0.09
-1.26452e-01,0.11
-1.26448e-01,0.07
-1.26444e-01,0.07
-1.26440e-01,0.07
-1.26436e-01,0.11
-1.26432e-01,0.09
-1.26428e-01,0.05
-1.26424e-01,0.07
-1.26420e-01,0.09
-1.26416e-01,0.07
-1.26412e-01,0.05
-1.26408e-01,0.03
-1.26404e-01,0.07
-1.26400e-01,0.07
-1.26396e-01,0.09
-1.26392e-01,0.03
-1.26388e-01,0.05
-1.26384e-01,0.09
-1.26380e-01,0.09
-1.26376e-01,0.09
-1.26372e-01,0.03
-1.26368e-01,0.03
-1.26364e-01,0.03
-1.26360e-01,0.07
-1.26356e-01,0.05
-1.26352e-01,0.07
-1.26348e-01,0.07
-1.26344e-01,0.09
-1.26340e-01,0.09
-1.26336e-01,0.07
-1.26332e-01,0.05
-1.26328e-01,0.03
-1.26324e-01,0.05
-1.26320e-01,0.03
-1.26316e-01,0.05
-1.26312e-01,0.05
-1.26308e-01,0.05
-1.26304e-01,0.05
-1.26300e-01,0.09
-1.26296e-01,0.07
-1.26292e-01,0.03
-1.26288e-01,0.05
-1.26284e-01,0.07
-1.26280e-01,0.05
-1.26276e-01,0.07
-1.26272e-01,0.09
-1.26268e-01,0.05
-1.26264e-01,0.03
-1.26260e-01,0.07
-1.26256e-01,0.05
-1.26252e-01,0.05
-1.26248e-01,0.07
-1.26244e-01,0.03
-1.26240e-01,0.03
-1.26236e-01,0.03
-1.26232e-01,0.05
-1.26228e-01,0.09
-1.26224e-01,0.09
-1.26220e-01,0.09
-1.26216e-01,0.07
-1.26212e-01,0.05
-1.26208e-01,0.09
-1.26204e-01,0.09
-1.26200e-01,0.07
-1.26196e-01,0.01
-1.26192e-01,0.07
-1.26188e-01,0.09
-1.26184e-01,0.11
-1.26180e-01,0.05
-1.26176e-01,0.03
-1.26172e-01,0.05
-1.26168e-01,0.07
-1.26164e-01,0.03
-1.26160e-01,0.09
-1.26156e-01,0.05
-1.26152e-01,0.07
-1.26148e-01,0.03
-1.26144e-01,0.07
-1.26140e-01,0.05
-1.26136e-01,0.05
-1.26132e-01,0.01
-1.26128e-01,0.07
-1.26124e-01,0.07
-1.26120e-01,0.09
-1.26116e-01,0.07
-1.26112e-01,0.01
-1.26108e-01,0.05
-1.26104e-01,0.07
-1.26100e-01,0.05
-1.26096e-01,0.09
-1.26092e-01,0.05
-1.26088e-01,0.05
-1.26084e-01,0.03
-1.26080e-01,0.07
-1.26076e-01,0.03
-1.26072e-01,0.07
-1.26068e-01,0.07
-1.26064e-01,0.07
-1.26060e-01,0.05
-1.26056e-01,0.05
-1.26052e-01,0.07
-1.26048e-01,0.03
-1.26044e-01,0.05
-1.26040e-01,0.09
-1.26036e-01,0.07
-1.26032e-01,0.03
-1.26028e-01,0.03
-1.26024e-01,0.07
-1.26020e-01,0.09
-1.26016e-01,0.05
-1.26012e-01,0.05
-1.26008e-01,0.07
-1.26004e-01,0.09
-1.26000e-01,0.05
-1.25996e-01,0.09
-1.25992e-01,0.07
-1.25988e-01,0.03
-1.25984e-01,0.05
-1.25980e-01,0.09
-1.25976e-01,0.05
-1.25972e-01,0.09
-1.25968e-01,0.01
-1.25964e-01,0.05
-1.25960e-01,0.07
-1.25956e-01,0.07
-1.25952e-01,0.09
-1.25948e-01,0.07
-1.25944e-01,0.09
-1.25940e-01,0.09
-1.25936e-01,0.05
-1.25932e-01,0.07
-1.25928e-01,0.07
-1.25924e-01,0.07
-1.25920e-01,0.03
-1.25916e-01,0.03
-1.25912e-01,0.03
-1.25908e-01,0.07
-1.25904e-01,0.07
-1.25900e-01,0.07
-1.25896e-01,0.03
-1.25892e-01,0.05
-1.25888e-01,0.05
-1.25884e-01,0.03
-1.25880e-01,0.09
-1.25876e-01,0.07
-1.25872e-01,0.09
-1.25868e-01,0.09
-1.25864e-01,0.03
-1.25860e-01,0.09
-1.25856e-01,0.05
-1.25852e-01,0.07
-1.25848e-01,0.09
-1.25844e-01,0.07
-1.25840e-01,0.07
-1.25836e-01,0.09
-1.25832e-01,0.07
-1.25828e-01,0.09
-1.25824e-01,0.07
-1.25820e-01,0.05
-1.25816e-01,0.09
-1.25812e-01,0.05
-1.25808e-01,0.07
-1.25804e-01,0.05
-1.25800e-01,0.11
-1.25796e-01,0.07
-1.25792e-01,0.05
-1.25788e-01,0.01
-1.25784e-01,0.09
-1.25780e-01,0.05
-1.25776e-01,0.05
-1.25772e-01,0.03
-1.25768e-01,0.09
-1.25764e-01,0.05
-1.25760e-01,0.07
-1.25756e-01,0.07
-1.25752e-01,0.03
-1.25748e-01,0.09
-1.25744e-01,0.05
-1.25740e-01,0.03
-1.25736e-01,0.05
-1.25732e-01,0.05
-1.25728e-01,0.01
-1.25724e-01,0.03
-1.25720e-01,0.07
-1.25716e-01,0.05
-1.25712e-01,0.07
-1.25708e-01,0.05
-1.25704e-01,0.09
-1.25700e-01,0.07
-1.25696e-01,0.05
-1.25692e-01,0.03
-1.25688e-01,0.09
-1.25684e-01,0.07
-1.25680e-01,0.05
-1.25676e-01,0.09
-1.25672e-01,0.05
-1.25668e-01,0.07
-1.25664e-01,0.07
-1.25660e-01,0.01
-1.25656e-01,0.09
-1.25652e-01,0.09
-1.25648e-01,0.07
-1.25644e-01,0.07
-1.25640e-01,0.05
-1.25636e-01,0.03
-1.25632e-01,0.07
-1.25628e-01,0.03
-1.25624e-01,0.07
-1.25620e-01,0.07
-1.25616e-01,0.07
-1.25612e-01,0.05
-1.25608e-01,0.07
-1.25604e-01,0.03
-1.25600e-01,0.03
-1.25596e-01,0.07
-1.25592e-01,0.07
-1.25588e-01,0.07
-1.25584e-01,0.03
-1.25580e-01,0.07
-1.25576e-01,0.05
-1.25572e-01,0.07
-1.25568e-01,0.01
-1.25564e-01,0.03
-1.25560e-01,0.05
-1.25556e-01,0.01
-1.25552e-01,0.05
-1.25548e-01,0.07
-1.25544e-01,0.05
-1.25540e-01,0.07
-1.25536e-01,0.05
-1.25532e-01,2.85
-1.25528e-01,3.23
-1.25524e-01,3.23
-1.25520e-01,3.25
-1.25516e-01,3.25
-1.25512e-01,3.21
-1.25508e-01,3.21
-1.25504e-01,3.23
-1.25500e-01,3.27
-1.25496e-01,3.23
-1.25492e-01,3.21
-1.25488e-01,3.25
-1.25484e-01,3.21
-1.25480e-01,3.25
-1.25476e-01,3.25
-1.25472e-01,3.27
-1.25468e-01,3.21
-1.25464e-01,3.23
-1.25460e-01,3.25
-1.25456e-01,3.23
-1.25452e-01,3.27
-1.25448e-01,3.25
-1.25444e-01,3.27
-1.25440e-01,3.25
-1.25436e-01,3.23
-1.25432e-01,3.27
-1.25428e-01,3.27
-1.25424e-01,3.29
-1.25420e-01,3.23
-1.25416e-01,3.27
-1.25412e-01,3.23
-1.25408e-01,3.23
-1.25404e-01,3.25
-1.25400e-01,3.27
-1.25396e-01,3.25
-1.25392e-01,3.25
-1.25388e-01,3.27
-1.25384e-01,3.25
-1.25380e-01,3.27
-1.25376e-01,3.23
-1.25372e-01,3.27
-1.25368e-01,3.29
-1.25364e-01,3.25
-1.25360e-01,3.25
-1.25356e-01,3.25
-1.25352e-01,3.25
-1.25348e-01,3.25
-1.25344e-01,3.25
-1.25340e-01,3.25
-1.25336e-01,3.25
-1.25332e-01,3.23
-1.25328e-01,3.25
-1.25324e-01,3.29
-1.25320e-01,3.29
-1.25316e-01,3.27
-1.25312e-01,3.25
-1.25308e-01,3.29
-1.25304e-01,3.27
-1.25300e-01,3.27
-1.25296e-01,3.23
-1.25292e-01,3.27
-1.25288e-01,3.27
-1.25284e-01,3.25
-1.25280e-01,3.23
-1.25276e-01,3.31
-1.25272e-01,3.29
-1.25268e-01,3.29
-1.25264e-01,3.23
-1.25260e-01,3.29
-1.25256e-01,3.33
-1.25252e-01,3.27
-1.25248e-01,3.27
-1.25244e-01,3.25
-1.25240e-01,3.27
